exchange,symbol,fundingTime,fundingRate,fundingRatePct,demo,normalized
binance,ETHUSDT,1580256000001,0.00122251,0.122251,True,True
binance,BTCUSDT,1580284800000,0.00108193,0.10819300000000001,True,True
binance,ETHUSDT,1580284800000,0.00106130,0.10613,True,True
binance,BTCUSDT,1580313600002,0.00053694,0.053694,True,True
binance,ETHUSDT,1580313600002,0.00055576,0.055576,True,True
binance,BTCUSDT,1580342400000,0.00023600,0.0236,True,True
binance,ETHUSDT,1580342400000,0.00054882,0.054882,True,True
binance,BTCUSDT,1580371200000,0.00024877,0.024877,True,True
binance,ETHUSDT,1580371200000,0.00049058,0.049058000000000004,True,True
binance,BTCUSDT,1580400000000,0.00034852,0.034852,True,True
binance,ETHUSDT,1580400000000,0.00054951,0.054951,True,True
binance,BTCUSDT,1580428800000,0.00053551,0.053551,True,True
binance,ETHUSDT,1580428800000,0.00082589,0.082589,True,True
binance,BTCUSDT,1580457600000,0.00077154,0.077154,True,True
binance,ETHUSDT,1580457600000,0.00132017,0.132017,True,True
binance,BTCUSDT,1580486400000,0.00039858,0.039858,True,True
binance,ETHUSDT,1580486400000,0.00093741,0.09374099999999999,True,True
binance,BTCUSDT,1580515200000,0.00074991,0.074991,True,True
binance,ETHUSDT,1580515200000,0.00072010,0.07201,True,True
binance,BTCUSDT,1580544000000,0.00065667,0.065667,True,True
binance,ETHUSDT,1580544000000,0.00070775,0.070775,True,True
binance,BTCUSDT,1580572800000,0.00049052,0.049052000000000005,True,True
binance,ETHUSDT,1580572800000,0.00052861,0.052861,True,True
binance,BTCUSDT,1580601600000,0.00028263,0.028263000000000003,True,True
binance,ETHUSDT,1580601600000,0.00035200,0.0352,True,True
binance,BTCUSDT,1580630400000,0.00034916,0.034916,True,True
binance,ETHUSDT,1580630400000,0.00016128,0.016128,True,True
binance,BTCUSDT,1580659200000,0.00065524,0.065524,True,True
binance,ETHUSDT,1580659200000,0.00010000,0.01,True,True
binance,BTCUSDT,1580688000000,0.00060677,0.060676999999999995,True,True
binance,ETHUSDT,1580688000000,0.00010000,0.01,True,True
binance,BTCUSDT,1580716800000,0.00035862,0.035862,True,True
binance,ETHUSDT,1580716800000,0.00010000,0.01,True,True
binance,BTCUSDT,1580745600000,0.00010000,0.01,True,True
binance,ETHUSDT,1580745600000,0.00010000,0.01,True,True
binance,BTCUSDT,1580774400000,0.00099282,0.099282,True,True
binance,ETHUSDT,1580774400000,0.00036575,0.036575,True,True
binance,BTCUSDT,1580803200001,0.00054450,0.05445,True,True
binance,ETHUSDT,1580803200001,0.00014722,0.014721999999999999,True,True
binance,BTCUSDT,1580832000000,0.00038192,0.038192000000000004,True,True
binance,ETHUSDT,1580832000000,0.00039381,0.039381,True,True
binance,BTCUSDT,1580860800002,0.00010000,0.01,True,True
binance,ETHUSDT,1580860800002,0.00010000,0.01,True,True
binance,BTCUSDT,1580889600000,0.00010000,0.01,True,True
binance,ETHUSDT,1580889600000,0.00010000,0.01,True,True
binance,BTCUSDT,1580918400000,0.00052631,0.052631,True,True
binance,ETHUSDT,1580918400000,0.00095515,0.095515,True,True
binance,BTCUSDT,1580947200000,0.00164021,0.164021,True,True
binance,ETHUSDT,1580947200000,0.00112654,0.112654,True,True
binance,BTCUSDT,1580976000000,0.00078299,0.07829900000000001,True,True
binance,ETHUSDT,1580976000000,0.00077325,0.07732499999999999,True,True
binance,BTCUSDT,1581004800000,0.00055668,0.055668,True,True
binance,ETHUSDT,1581004800000,0.00053238,0.05323800000000001,True,True
binance,BTCUSDT,1581033600000,0.00035618,0.035618,True,True
binance,ETHUSDT,1581033600000,0.00032775,0.032775000000000006,True,True
binance,BTCUSDT,1581062400000,0.00019726,0.019726,True,True
binance,ETHUSDT,1581062400000,0.00014913,0.014913000000000001,True,True
binance,BTCUSDT,1581091200001,0.00034616,0.034616,True,True
binance,ETHUSDT,1581091200001,0.00045718,0.045718,True,True
binance,BTCUSDT,1581120000000,0.00039915,0.039915000000000006,True,True
binance,ETHUSDT,1581120000000,0.00026524,0.026524,True,True
binance,BTCUSDT,1581148800000,0.00062858,0.062858,True,True
binance,ETHUSDT,1581148800000,0.00027312,0.027312000000000003,True,True
binance,BTCUSDT,1581177600000,0.00099315,0.09931499999999999,True,True
binance,ETHUSDT,1581177600000,0.00029946,0.029945999999999997,True,True
binance,BTCUSDT,1581206400000,0.00042798,0.042798,True,True
binance,ETHUSDT,1581206400000,0.00097062,0.097062,True,True
binance,BTCUSDT,1581235200000,0.00081519,0.08151900000000001,True,True
